"","title","user_rating","genre"
"65","Be Natural: The Untold Story of Alice Guy-Blache","User Ratings: 156","Documentary"
"66","Shadow","User Ratings: 244","Action & Adventure,Art House & International,Drama"
"67","The LEGO Movie 2: The Second Part","User Ratings: 28,207","Animation,Comedy"
"68","The Kid Who Would Be King","User Ratings: 1,262","Action & Adventure,Kids & Family,Science Fiction & Fantasy"
"69","In Fabric","Ratings: Not yet available","Comedy,Horror"
"70","Monos","Verified Ratings: 32","Drama"
"71","Luce","Verified Ratings: 283","Drama,Mystery & Suspense"
"72","Harpoon","User Ratings: 17","Art House & International,Comedy,Horror"
"73","Atlantics","Ratings: Not yet available","Drama,Romance"
"74","Ray & Liz","Ratings: Not yet available","Art House & International,Drama"
"75","Mike Wallace Is Here","Verified Ratings: 7","Documentary"
"76","The Souvenir","User Ratings: 395","Drama"
"77","The Wild Pear Tree (Ahlat agaci)","User Ratings: 294","Drama"
"78","Ask Dr. Ruth","User Ratings: 46","Documentary"
"79","Diane","User Ratings: 52","Drama"
"80","By the Grace of God (Grace a Dieu)","User Ratings: 6","Drama"
"81","Sword of Trust","User Ratings: 105","Drama"
"82","Rafiki","User Ratings: 33","Art House & International,Drama"
"83","High Flying Bird","Ratings: Not yet available","Drama"
"84","Echo In the Canyon","Verified Ratings: 336","Documentary"
"85","Long Day's Journey Into Night (Di qiu zui hou de ye wan)","User Ratings: 65","Art House & International,Drama,Mystery & Suspense"
"86","Brittany Runs a Marathon","Verified Ratings: 1,333","Comedy,Drama"
"87","Missing Link","User Ratings: 556","Action & Adventure,Animation,Comedy"
"88","Judy","Verified Ratings: 5,418","Drama,Musical & Performing Arts"
"89","Miles Davis: Birth of the Cool","User Ratings: 7","Documentary"
"90","Raise Hell: The Life & Times of Molly Ivins","Verified Ratings: 33","Documentary"
"91","Uncut Gems","Ratings: Not yet available","Drama"
"92","David Crosby: Remember My Name","Verified Ratings: 60","Documentary"
"93","El Camino: A Breaking Bad Movie","User Ratings: 3,717","Drama,Mystery & Suspense,Television"
"94","Giant Little Ones","User Ratings: 146","Drama"
"95","Arctic","User Ratings: 1,658","Drama"
"96","Rolling Thunder Revue: A Bob Dylan Story By Martin Scorsese","Ratings: Not yet available","Documentary"
"97","Downton Abbey","Verified Ratings: 19,582","Drama"
"98","An Elephant Sitting Still (Da xiang xi di er zuo)","User Ratings: 83","Art House & International,Drama"
"99","Disneynature: Penguins","User Ratings: 156","Documentary"
"100","Long Shot","User Ratings: 3,889","Comedy"
